OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,AIRPORTCODE,FACILITYNUMBER,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LONGITUDE,LATITUDE
1,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,1,Canberra,Operational,CBR,2,Amberley Avenue,Canberra Airport,Australian Capital Territory,5,20121001,Site may be decommissioned,149.199003,-35.299273
2,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,2,Albury,Operational,ABX,,,Albury,New South Wales,2,20121001,Fuel facilities clearly visible on high resolution image,146.953533,-36.0694399999999
3,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,3,Ballina,Operational,BNK,,,Ballina,New South Wales,4,20121001,Fuel facilities clearly visible on high resolution image,153.554569671,-28.8373614229999
4,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,4,Sydney Metro Bankstown,Operational,BWU,,,Bankstown Aerodrome,New South Wales,5,20121001,Fuel tanks validated from Airport Master Plan,150.988751376,-33.9172291689999
5,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,5,Camden,Operational,CDU,,Aerodrome Road,Camden,New South Wales,4,20121001,Fuel facilities clearly visible on high resolution image,150.688849684,-34.0422196179999
6,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,6,Coffs Harbour,Operational,CFS,1,Aviation Drive,Coffs Harbour,New South Wales,4,20121001,Fuel facilities clearly visible on high resolution image,153.117620765,-30.313476679
7,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,7,Coffs Harbour,Operational,CFS,2,Aviation Drive,Coffs Harbour,New South Wales,4,20121001,Fuel facilities clearly visible on high resolution image,153.118048,-30.3155149999999
8,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,8,Dubbo,Operational,DBO,1,,Dubbo,New South Wales,5,20121001,Fuel tanks validated from Airport Master Plan,148.569353234,-32.2162783599999
9,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,9,Dubbo,Operational,DBO,2,,Dubbo,New South Wales,5,20121001,Fuel tanks validated from Airport Master Plan,148.569423234,-32.21972736
10,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,10,Dubbo,Operational,DBO,3,,Dubbo,New South Wales,5,20121001,Fuel tanks validated from Airport Master Plan,148.567580234,-32.21638036
11,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,11,Dubbo,Operational,DBO,4,,Dubbo,New South Wales,5,20121001,Fuel tanks validated from Airport Master Plan,148.569010234,-32.21683436
12,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,12,Port Macquarie,Operational,PQQ,1,,Port Macquarie,New South Wales,5,20121001,Fuel tanks validated from Airport Master Plan,152.867975,-31.4322109999999
13,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,13,Port Macquarie,Operational,PQQ,1,,Port Macquarie,New South Wales,5,20121001,Fuel tanks validated from Airport Master Plan,152.86672,-31.431007
14,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,14,Sydney (Kingsford Smith),Operational,SYD,1,Link Road,Mascot,New South Wales,5,20121001,Joint User Hydrant Installation,151.164606,-33.931435
15,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,15,Sydney (Kingsford Smith),Operational,SYD,2,,Mascot,New South Wales,4,20121001,Fuel tanks validated from Airport Master Plan,151.181574,-33.93299
16,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,16,Sydney (Kingsford Smith),Operational,SYD,3,,Mascot,New South Wales,4,20121001,Fuel tanks validated from Airport Master Plan,151.18336,-33.9277069999999
17,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,17,Sydney (Kingsford Smith),Operational,SYD,4,,Mascot,New South Wales,4,20121001,Fuel tanks validated from Airport Master Plan,151.178733663,-33.926280219
18,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,18,Tamworth,Operational,TMW,,,Tamworth,New South Wales,3,20121001,Fuel facilities clearly visible on high resolution image,150.850815208,-31.086528326
19,Fuel Depot,A facility used for the bulk storage of aviation fuel,Fuel Depot,19,Wagga Wagga,Operational,WGA,,,Wagga Wagga,New South Wales,5,20121001,Fuel tanks validated from Airport Master Plan,147.461457,-35.160738
