OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,AIRPORTCODE,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
1,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,1,Broome International,Operational,BME,,Broome,Western Australia,4,20121001,,-17.946620305,122.228496837
2,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,2,Broome International,Operational,BME,,Broome,Western Australia,4,20121001,,-17.947076952,122.230566019
3,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,3,Broome International,Operational,BME,,Broome,Western Australia,4,20121001,,-17.94725533,122.231094017
4,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,4,Broome International,Operational,BME,,Broome,Western Australia,4,20121001,,-17.947333816,122.231393692
5,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,5,Broome International,Operational,BME,,Broome,Western Australia,4,20121001,,-17.947369491,122.231671961
6,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,6,Broome International,Operational,BME,,Broome,Western Australia,4,20121001,,-17.9475050579999,122.232157148
7,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,7,Broome International,Operational,BME,,Broome,Western Australia,4,20121001,,-17.9475978149999,122.232499634
8,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,8,Broome International,Operational,BME,,Broome,Western Australia,4,20121001,,-17.949267431,122.236566646
9,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,9,Broome International,Operational,BME,,Broome,Western Australia,4,20121001,,-17.9487965129999,122.236702214
10,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,10,Broome International,Operational,BME,,Broome,Western Australia,4,20121001,,-17.953933793,122.233191739
11,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,11,Broome International,Operational,BME,,Broome,Western Australia,4,20121001,,-17.953712604,122.232349796
12,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,12,Broome International,Operational,BME,,Broome,Western Australia,4,20121001,,-17.953584172,122.232021581
13,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,13,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.2299991639999,142.082681055
14,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,14,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.2307724889999,142.083430585
15,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,15,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.230391776,142.083430585
16,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,16,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.2314149439999,142.085357949
17,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,17,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.233901481,142.087047366
18,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,18,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.233877686,142.086738036
19,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,19,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.233627842,142.086321631
20,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,20,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.2333066149999,142.086559577
21,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,21,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.2329259009999,142.086119376
22,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,22,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.232854518,142.086274041
23,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,23,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.2328069279999,142.086440604
24,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,24,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.2327474419999,142.08663096
25,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,25,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.232687955,142.086821317
26,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,26,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.232616572,142.08698788
27,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,27,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.232319139,142.086821317
28,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,28,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.2323667279999,142.08663096
29,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,29,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.232438112,142.086476296
30,Hangar,A large building located at an airport where aircraft are stored and maintained,Hangar,30,Mildura,Operational,MQL,,Mildura,New South Wales,4,20121001,,-34.232509496,142.086309733
